"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"185840781" "185840781" 40.2669 -105.539 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -3.17852758715693 2.08720031418761 -1.1990758295739
"185841559" "185841559" 39.6468 -104.8314 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -3.19517346043745 2.09476448352622 -1.20554704547976
"185841619" "185841619" 40.1829 -105.3288 "inv" NA "US" 842 94 190 5 498 61 15 34 174 61 75 162 138 38 7251 305 -49 354 12 186 -2.3671441276922 -0.171882518546972 0.674118419371289
"185841620" "185841620" 39.9906 -105.4333 "inv" NA "US" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212 -3.42116437326606 -1.81893393152222 1.91822886460519
"185841621" "185841621" 40.9955 -103.9435 "inv" NA "US" 872 83 171 2 359 47 12 36 134 45 53 119 130 39 6668 277 -49 326 6 170 -2.14741145392219 0.190877225482346 0.468732744172501
"185841718" "185841718" 40.0129 -105.2967 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180 -2.80235010488329 -1.44606662208782 0.206329511296356
"185841761" "185841761" 40.23667 -105.31972 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180 -2.79634325588476 -1.44879623694494 0.208664721719279
"185841852" "185841852" 40.42973 -105.34095 "inv" NA "US" 696 89 180 3 320 46 9 46 136 36 39 121 125 38 6933 280 -46 326 8 179 -2.48712406172721 0.0303133777770928 0.842464301910223
"199563807" "199563807" 49.64 6.14 "nat" 1948 "LU" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182 -2.38940939771666 -0.203252150487775 1.22925703816287
"199563808" "199563808" 49.64 6.14 "nat" 1949 "LU" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212 -3.16213729757972 -1.93664026213983 2.01892770473099
"20713168" "20713168" 59.18695 10.95151 "nat" 1905 "NO" 24 120 211 32 464 93 4 77 252 26 26 235 123 38 7037 304 -18 322 37 211 -2.6432226874247 -2.75259432020828 1.80592183230072
"20713174" "20713174" 59.18695 10.95151 "nat" 1905 "NO" 559 90 177 6 470 78 8 57 219 41 42 205 140 42 6704 288 -45 333 10 175 -2.32455186886128 -1.38174921433156 0.255052118045802
"20713176" "20713176" 58.15342 7.97459 "nat" 1893 "NO" 887 72 167 -18 769 105 25 39 303 96 111 285 127 37 7219 275 -66 341 -12 162 -0.516334858517867 -1.08809912861702 -1.55141558359581
"20713178" "20713178" 58.14798 7.96796 "nat" 1893 "NO" 1772 100 218 -16 306 34 14 21 96 62 76 66 151 36 9042 321 -95 416 168 143 -2.71960065138235 2.11736539281139 1.79046246878265
