Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
TR001-7	5	M	drought	TR001	18	nat	8	5.5	1.5	5/24/2011	black	1.70474809223843	0.405465108108164	2.82842712474619	0.223525418316936
TR001-8	2	G	control	TR001	20	nat	5	4.5	1	5/25/2011	black	1.50407739677627	0	2.23606797749979	1.49597174083725
TR001-9	10	I	control	TR001	22	nat	8	9.8	2.5	5/25/2011	black	2.28238238567653	0.916290731874155	2.82842712474619	-1.26320706905183
TR004-2	19	L	drought	HU001	4	nat	6	3.2	1.3	5/24/2011	black	1.16315080980568	0.262364264467491	2.44948974278318	1.4946552035963
TR004-3	14	P	control	HU001	4	nat	10	6.8	1.7	5/26/2011	black	1.91692261218206	0.53062825106217	3.16227766016838	-0.50820615497209
TR004-4	5	P	drought	HU001	2	nat	6	3.9	0.8	5/24/2011	black	1.3609765531356	-0.22314355131421	2.44948974278318	1.81694778258742
TR004-5	6	M	control	HU001	3	nat	6	3.5	1.8	5/25/2011	black	1.25276296849537	0.587786664902119	2.44948974278318	0.954092742180875
TR004-7	14	M	control	HU001	1	nat	11	8.9	2.6	5/26/2011	black	2.18605127673809	0.955511445027436	3.3166247903554	-1.55834984927346
UA004-2	4	H	control	UA004	11	nat	11	6.8	1.6	5/24/2011	black	1.91692261218206	0.470003629245736	3.3166247903554	-0.554065991200855
UA006-3	8	K	control	RO001	27	nat	11	8	2	5/25/2011	black	2.07944154167984	0.693147180559945	3.3166247903554	-1.07234786232956
UA006-4	16	N	drought	RO001	10	nat	5	5.6	0.9	5/24/2011	black	1.7227665977411	-0.105360515657826	2.23606797749979	1.30921532210071
UA006-6	8	O	control	RO001	14	nat	8	5.5	0.8	5/25/2011	black	1.70474809223843	-0.22314355131421	2.82842712474619	1.01489786956844
UA006-8	19	Q	drought	RO001	27	nat	10	9.2	2	5/24/2011	black	2.21920348405499	0.693147180559945	3.16227766016838	-1.15428967293245
UA006-9	18	B	control	RO001	14	nat	9	7.9	2.1	5/26/2011	black	2.06686275947298	0.741937344729377	3	-0.864758225348177
UA007-5	6	R	control	RU008	3	nat	12	7.9	2.9	5/30/2011	black	2.06686275947298	1.06471073699243	3.46410161513775	-1.63849110039325
UA007-6	19	U	drought	RO001	29	nat	7	7	1.9	5/24/2011	black	1.94591014905531	0.641853886172395	2.64575131106459	-0.281683336346484
UA007-7	6	H	control	RO001	11	nat	8	6.6	1.4	5/25/2011	black	1.88706964903238	0.336472236621213	2.82842712474619	0.0441000726149896
UA007-9	9	S	control	RO001	11	nat	7	4.6	1.2	5/25/2011	black	1.52605630349505	0.182321556793955	2.64575131106459	0.910034815253526
UA008-1	8	U	control	RO005	24	nat	7	6.8	1.2	5/25/2011	black	1.91692261218206	0.182321556793955	2.64575131106459	0.339170916531277
UA008-3	12	P	drought	RO005	24	nat	8	4.9	1.2	5/24/2011	black	1.58923520511658	0.182321556793955	2.82842712474619	0.673154525014834
UA008-5	4	G	drought	GR002	21	nat	3	1	0.1	5/24/2011	black	0	-2.30258509299405	1.73205080756888	6.99045955584283
