"Pop" "Origin" "Latitude" "Longitude" "Row" "Column" "Trt" "Mom" "tagged" "Bolt.date" "BoltedatH" "MaxBoltHtH" "Rose.AreaH.m2" "CrownDiam.mm" "Shoot.mass.gH" "bolt.bin" "time" "m.date" "lfl" "lfw" "lfc" "rd" "alt" "PC1" "PC2" "PC3"
"94" "CA001" "inv" 49.0149388888889 -122.882097222222 12 "J" "drought" 3 "CA001-7" 46 "Yes" 9 0.2594879 12.91 15 1 3 46 30 5 29 59 24 6.5317597140711 4.35512137262044 -2.60348498479734
"95" "CA001" "inv" 49.0149388888889 -122.882097222222 12 "L" "drought" 4 "CA001-8" NA "No" NA 0.2041975 29.1 80 0 3 117 29 6.5 NA 52 24 6.5317597140711 4.35512137262044 -2.60348498479734
"96" "CA001" "inv" 49.0149388888889 -122.882097222222 13 "E" "control" 4 "CORY1-4" NA NA NA NA NA NA NA 3 NA NA NA NA NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"97" "CA001" "inv" 49.0149388888889 -122.882097222222 5 "F" "drought" 1 "CORY1-6" 50 "Yes" 19 0.2123654 16.04 30 1 2 32 19.6 6.5 48 39.2 24 6.5317597140711 4.35512137262044 -2.60348498479734
"98" "CA001" "inv" 49.0149388888889 -122.882097222222 6 "E" "control" 3 "CA001-9" 53 "Yes" 16 0.345722075 19.6 56 1 2 31 21.4 5.2 43 41.7 24 6.5317597140711 4.35512137262044 -2.60348498479734
"99" "CA001" "inv" 49.0149388888889 -122.882097222222 8 "C" "control" 1 "CA001-2" NA NA NA NA NA NA NA 1 17 6.5 1.9 22 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"100" "CA001" "inv" 49.0149388888889 -122.882097222222 3 "J" "control" 5 "CA001-4" NA "No" NA 0.2148786 24.7 48 0 2 31 13.6 3.9 23 23.6 24 6.5317597140711 4.35512137262044 -2.60348498479734
"101" "CA001" "inv" 49.0149388888889 -122.882097222222 6 "E" "control" 3 "CA001-9" 53 "Yes" 16 0.345722075 19.6 56 1 3 57 35 7 117 71 24 6.5317597140711 4.35512137262044 -2.60348498479734
"102" "CA001" "inv" 49.0149388888889 -122.882097222222 8 "C" "control" 1 "CA001-2" NA NA NA NA NA NA NA 3 NA NA NA NA NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"103" "CA001" "inv" 49.0149388888889 -122.882097222222 3 "J" "control" 5 "CA001-4" NA "No" NA 0.2148786 24.7 48 0 3 117 28.5 4.5 NA 57 24 6.5317597140711 4.35512137262044 -2.60348498479734
"104" "CA001" "inv" 49.0149388888889 -122.882097222222 5 "F" "drought" 1 "CORY1-6" 50 "Yes" 19 0.2123654 16.04 30 1 3 53 25 7 96 52 24 6.5317597140711 4.35512137262044 -2.60348498479734
"105" "CA001" "inv" 49.0149388888889 -122.882097222222 13 "E" "control" 4 "CORY1-4" NA NA NA NA NA NA NA 1 13 2.2 0.7 4 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"106" "CA009" "inv" 49.2961027777778 -118.473830555556 6 "K" "control" 27 "CA009-6" 42 "Yes" 9 0.241738425 10.91 22 1 2 31 22.5 5.4 61 44.3 599 0.653121554544243 -3.39169813710837 -1.22063611605516
"107" "CA009" "inv" 49.2961027777778 -118.473830555556 19 "P" "drought" 70 "CA009-3" 60 "Yes" 40 0.18849 16.1 40 1 1 17 6.6 1.9 19 NA 599 0.653121554544243 -3.39169813710837 -1.22063611605516
"108" "CA009" "inv" 49.2961027777778 -118.473830555556 2 "M" "control" 72 "TR003-7" 50 "Yes" 13.5 0.162572625 15.1 32 1 2 32 16.2 5.9 44 30.4 599 0.653121554544243 -3.39169813710837 -1.22063611605516
