Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
US002-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	65	64	0.326716	NA	36	7	28		92
US002-6	Friday, July 01, 2011	Friday, July 01, 2011	Yes	12.5	NA	NA	NA	NA	58	51	0.232313925	42	32	6	19.11		14
US002-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	54	49	0.207810225	NA	31	5	14.7		16
US002-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	82	69	0.444365175	NA	39	7	27.9		94
US003-1	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	17	NA	NA	NA	NA	44	43	0.14859295	66	22	8	10.1		10.4
US003-4	Monday, July 04, 2011	Monday, July 04, 2011	Yes	37.5	NA	NA	NA	NA	49	47	0.180871863	79	23.5	9	12.01		26
US003-5	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	10	NA	NA	NA	NA	51	44	0.17623815	76	24.5	5	9.84		20
US003-6	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	26	NA	NA	NA	NA	42	41.5	0.136890863	48	24	5	10.84		17
US003-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	65	63	0.321611063	NA	33	8	27		96
US012-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	70	66	0.36284325	NA	34	9	26.5		124
US012-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	36	36	0.1017846	NA	18	5	17.5		34
US012-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	82	82	0.52808615	NA	36	7.5	36.5		124
US013-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	64	60	0.301584	NA	31	4.5	44.5		104
US013-4	Monday, July 04, 2011	Monday, July 04, 2011	Yes	20	NA	NA	NA	NA	55	53	0.228936813	118	29	5	10.91		27
US013-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	54	43	0.182364075	NA	28	8	21.1		74
