"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"307501201" "307501201" 53.61637 -0.11009 "nat" 1969 "GB" 1832 82 185 -15 408 65 13 45 161 42 136 42 158 41 7808 287 -97 384 161 -15 -1.42995367684309 -1.95255247904933 0.237158328791834
"318053388" "318053388" 43.66583 -118.59 "inv" 2003 "US" 1967 73 175 -21 394 62 11 48 161 38 141 38 155 41 7673 278 -99 377 151 -21 -1.50520216877566 -2.27619493435648 -0.278188543314764
"318053389" "318053389" 43.66583 -118.59 "inv" 2003 "US" 237 94 170 19 807 77 55 9 222 177 208 201 80 33 5884 230 -9 239 55 55 3.66225904223062 2.10563710292313 0.286815975880387
"319555388" "319555388" 39.42 -104.88 "inv" 2000 "US" 237 94 170 19 807 77 55 9 222 177 208 201 80 33 5884 230 -9 239 55 55 3.58580141759977 2.03867745256759 0.240582692785023
"319555389" "319555389" 39.62 -105.18 "inv" 1999 "US" 1944 99 203 -4 321 61 13 56 152 42 140 42 174 43 8046 304 -95 399 195 -4 -2.51088002615534 -2.12182002207259 0.786695624650138
"319555393" "319555393" 39.7 -105.68 "inv" 2000 "US" 2270 59 162 -36 466 77 10 59 207 38 207 38 167 42 7735 265 -125 390 162 -36 -1.4441634248019 -2.65138552205094 -1.52501997190552
"319555687" "319555687" 40.19 -105.1 "inv" 2002 "US" 1855 85 190 -11 437 66 13 42 168 48 148 48 166 42 7847 292 -102 394 164 -11 -1.79261376540383 -2.14542070500779 0.132738059386364
"325519741" "325519741" 49.99 6 "nat" NA "LU" 2596 32 132 -64 466 55 26 25 152 83 152 83 166 42 7652 239 -149 388 132 -64 0.24574337025969 -3.62582994342542 -2.55431738024525
"325519755" "325519755" 49.64 6.13 "nat" 1949 "LU" 1338 34 135 -67 318 35 17 22 96 61 96 82 114 33 7873 226 -119 345 135 -11 1.03333918269674 -3.30625201950971 -1.09121154396012
"325519760" "325519760" 49.64 6.13 "nat" 1949 "LU" 118 119 227 13 176 29 5 47 76 22 24 68 134 36 8307 326 -40 366 18 219 -3.07936778686238 -0.804667104163169 3.22750380608295
